title,question_url,answer_id,answer_content,comment_id,created_time,comment_content,comment_upvote,child_comments_count,author_info,author_gender
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,908744753,1587012236,女权这个词本身就有问题，平权还差不多，男权女权都不可取,45,2,https://www.zhihu.com/api/v4/people/b5463f4a8952dbe90daf3fdb38005754,-1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,907608427,1586924507,我看还有人说咪蒙是女权人士呢，真是无语,37,3,https://www.zhihu.com/api/v4/people/1ea6bb46a140ebac1aef074837304c47,0
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,919846676,1587895024,咪蒙能洽烂钱，而喷咪蒙一样能洽烂钱啊，比如咪蒙自己的团队，就经常有左右互搏，观点相反的存在，只要有流量，就有烂钱洽,5,0,https://www.zhihu.com/api/v4/people/0358f6c7e0ed01308e873b5506069953,1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,908167238,1586958433,我挺想问一下 你们对女权都有什么认识 你们所看到的她们 都是觉得哪些地方不平等了?,7,53,https://www.zhihu.com/api/v4/people/363701da6411240ae320ccd449d65834,0
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,920678032,1587965040,一针见血,0,0,https://www.zhihu.com/api/v4/people/de18d934d9db4e2703508de66c654b85,1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,919316536,1587863859,<p>一点没错，不过你不要偏袒一方，这是两方都使用的手段，要说起来，《乌合之众》一本书的重点就在于此，可见是普遍意义上的结论。</p>,0,0,https://www.zhihu.com/api/v4/people/0,0
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,914352603,1587458085,<p>正解</p>,0,0,https://www.zhihu.com/api/v4/people/0,1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,911179988,1587200696,哈,0,0,https://www.zhihu.com/api/v4/people/799d9b61760f07ac48bda893fc3dafe9,-1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,911137134,1587197844,你的回答和几个月之前相比令人舒适了许多[酷],0,0,https://www.zhihu.com/api/v4/people/6025e5506852587787015fe6657ab3b3,1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,908940335,1587023368,<p>言简意赅，高度总结概括，厉害。</p>,0,0,https://www.zhihu.com/api/v4/people/2d2b894d1df6c54c2731369f903a2fe9,1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,1290731688,1616661159,<p>拉倒吧，知乎上的科普答主都可以上午写硬核科普，下午接广告软文，何况是搞意识形态对立的。</p>,0,0,https://www.zhihu.com/api/v4/people/646dc288be98644c6c2564bc157902ad,-1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1154199464,意识心态宗教化，低龄化，无知化，文盲化，粉丝化才能恰烂钱。反对宗教化，低龄化，无知化，粉丝化只会被喷。,1009870223,1595914228,现有女权后有天！[生气],0,0,https://www.zhihu.com/api/v4/people/9cd65f1a22b3b432854a36dd24d3b1c5,-1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1144560307,因为你找不到反女权的营利模式。以女权的经典带货思路精致生活来说，你见过对男性这么营销的吗：“男人就该对自己好一点，就该掏女友的钱买买买机械键盘、AJ鞋、镜头，她不给钱就是不爱你？”你根本举不出一个类似的案例，反过头来看女权营销这种铺天盖地都是，这不是恰烂钱你告诉我什么才叫恰烂钱？你要说单纯做量，你看看咪蒙生前多少粉，勃撅多少粉，果子狸多少粉，我们反女权最大的呢？别的不说你找个同样影响力的反女权给我看？单纯做量来说，反女权也是弱势，毕竟真正干点事的人根本不屑吃性别矛盾这碗断子绝孙的缺德饭。你觉得我不能转女权？真以为这事门槛高？综上，女权转反女权是因为终于拎得清了，又不图财又不图量还有啥好指摘的，脑子正常就能反；而反女权转女权，意图明显得不能再明显，女权反手就是一片商机，精致生活带日用品是最常见的；炒女性独立推动离婚率和房地产是偏一点的；mary不是玛丽那种，招揽仇男媚外女性，给外国人拉免费皮条的，属于不扒不知道的；女权之声那种拿境外投资，在网上乱窜，为绿化做贡献的还属于国际大宗交易。女权从头到脚都有看不完的恰烂钱例子，我觉得但凡脑子正常也没有低估别人智商的人，都应该得出恰烂钱这个结论。,904391523,1586672443,反女权有影响力的，我只见过柯洁,75,11,https://www.zhihu.com/api/v4/people/0664c1562132934103fc443e78e2806a,-1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1144560307,因为你找不到反女权的营利模式。以女权的经典带货思路精致生活来说，你见过对男性这么营销的吗：“男人就该对自己好一点，就该掏女友的钱买买买机械键盘、AJ鞋、镜头，她不给钱就是不爱你？”你根本举不出一个类似的案例，反过头来看女权营销这种铺天盖地都是，这不是恰烂钱你告诉我什么才叫恰烂钱？你要说单纯做量，你看看咪蒙生前多少粉，勃撅多少粉，果子狸多少粉，我们反女权最大的呢？别的不说你找个同样影响力的反女权给我看？单纯做量来说，反女权也是弱势，毕竟真正干点事的人根本不屑吃性别矛盾这碗断子绝孙的缺德饭。你觉得我不能转女权？真以为这事门槛高？综上，女权转反女权是因为终于拎得清了，又不图财又不图量还有啥好指摘的，脑子正常就能反；而反女权转女权，意图明显得不能再明显，女权反手就是一片商机，精致生活带日用品是最常见的；炒女性独立推动离婚率和房地产是偏一点的；mary不是玛丽那种，招揽仇男媚外女性，给外国人拉免费皮条的，属于不扒不知道的；女权之声那种拿境外投资，在网上乱窜，为绿化做贡献的还属于国际大宗交易。女权从头到脚都有看不完的恰烂钱例子，我觉得但凡脑子正常也没有低估别人智商的人，都应该得出恰烂钱这个结论。,903047292,1586569331,<p>主要是反女权没有煽动性，就没有粉</p>,62,16,https://www.zhihu.com/api/v4/people/0,-1
为什么从支持女权变成抵制女权就是正常，而反过来就是为了恰钱？,https://www.zhihu.com/question/386792761,1144560307,因为你找不到反女权的营利模式。以女权的经典带货思路精致生活来说，你见过对男性这么营销的吗：“男人就该对自己好一点，就该掏女友的钱买买买机械键盘、AJ鞋、镜头，她不给钱就是不爱你？”你根本举不出一个类似的案例，反过头来看女权营销这种铺天盖地都是，这不是恰烂钱你告诉我什么才叫恰烂钱？你要说单纯做量，你看看咪蒙生前多少粉，勃撅多少粉，果子狸多少粉，我们反女权最大的呢？别的不说你找个同样影响力的反女权给我看？单纯做量来说，反女权也是弱势，毕竟真正干点事的人根本不屑吃性别矛盾这碗断子绝孙的缺德饭。你觉得我不能转女权？真以为这事门槛高？综上，女权转反女权是因为终于拎得清了，又不图财又不图量还有啥好指摘的，脑子正常就能反；而反女权转女权，意图明显得不能再明显，女权反手就是一片商机，精致生活带日用品是最常见的；炒女性独立推动离婚率和房地产是偏一点的；mary不是玛丽那种，招揽仇男媚外女性，给外国人拉免费皮条的，属于不扒不知道的；女权之声那种拿境外投资，在网上乱窜，为绿化做贡献的还属于国际大宗交易。女权从头到脚都有看不完的恰烂钱例子，我觉得但凡脑子正常也没有低估别人智商的人，都应该得出恰烂钱这个结论。,904606733,1586686881,建议@柯洁,8,5,https://www.zhihu.com/api/v4/people/5bb52b549314d7b3fbeb9cadd4c9941d,1
